;TARGET;;;;;BRAND-A CLOSING B2C ;;;;;;;;;BRAND-A CLOSING B2B;;;;;
DEALER CODE;DEALER NAME;% Hedef;BRAND-A;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOPLAM;% HG;;DEALER CODE;DEALER NAME;Model A1;Model A2;Model A3;Model B1;TOPLAM
BA-3-ICA-01;DEALER 1;7,75%;29;;BA-3-ICA-01;DEALER 1;4;34;4;5;47;162%;;BA-3-ICA-01;DEALER 1;0;0;0;0;0
BA-3-EGE-01;DEALER 2;4,50%;17;;BA-3-EGE-01;DEALER 2;1;12;2;2;17;100%;;BA-3-EGE-01;DEALER 2;0;0;0;0;0
BA-3-AKD-01;DEALER 3;3,50%;9;;BA-3-AKD-01;DEALER 3;0;10;1;2;13;144%;;BA-3-AKD-01;DEALER 3;0;5;3;1;9
BA-3-AKD-02;DEALER 4;3,50%;9;;BA-3-AKD-02;DEALER 4;0;11;0;0;11;122%;;BA-3-AKD-02;DEALER 4;0;8;0;0;8
BA-3-MAR-01;DEALER 5;3,00%;11;;BA-3-MAR-01;DEALER 5;2;11;1;2;16;145%;;BA-3-MAR-01;DEALER 5;0;0;0;0;0
BA-3-EGE-02;DEALER 6;5,50%;21;;BA-3-EGE-02;DEALER 6;1;27;2;1;31;148%;;BA-3-EGE-02;DEALER 6;0;0;0;0;0
BA-3-MAR-02;DEALER 7;7,50%;28;;BA-3-MAR-02;DEALER 7;2;22;1;3;28;100%;;BA-3-MAR-02;DEALER 7;0;50;0;0;50
BA-3-MAR-03;DEALER 8;3,00%;11;;BA-3-MAR-03;DEALER 8;0;11;1;2;14;127%;;BA-3-MAR-03;DEALER 8;0;0;0;0;0
BA-3-ICA-02;DEALER 9;1,50%;6;;BA-3-ICA-02;DEALER 9;0;2;0;1;3;50%;;BA-3-ICA-02;DEALER 9;0;0;0;0;0
BA-3-ICA-03;DEALER 10;2,50%;9;;BA-3-ICA-03;DEALER 10;1;7;1;4;13;144%;;BA-3-ICA-03;DEALER 10;0;0;0;0;0
BA-3-AKD-03;DEALER 11;1,50%;6;;BA-3-AKD-03;DEALER 11;0;9;0;1;10;167%;;BA-3-AKD-03;DEALER 11;0;0;0;0;0
BA-3-MAR-04;DEALER 12;4,00%;15;;BA-3-MAR-04;DEALER 12;0;3;0;0;3;20%;;BA-3-MAR-04;DEALER 12;0;0;0;0;0
BA-3-MAR-05;DEALER 13;6,75%;25;;BA-3-MAR-05;DEALER 13;3;20;3;4;30;120%;;BA-3-MAR-05;DEALER 13;0;0;0;0;0
BA-3-ICA-04;DEALER 14;6,00%;24;;BA-3-ICA-04;DEALER 14;2;23;0;4;29;121%;;BA-3-ICA-04;DEALER 14;0;1;0;0;1
BA-3-AKD-04;DEALER 15;6,50%;24;;BA-3-AKD-04;DEALER 15;2;17;2;3;24;100%;;BA-3-AKD-04;DEALER 15;0;0;0;0;0
BA-3-MAR-06;DEALER 16;7,50%;28;;BA-3-MAR-06;DEALER 16;1;9;2;4;16;57%;;BA-3-MAR-06;DEALER 16;0;0;0;0;0
BA-3-MAR-07;DEALER 17;7,50%;28;;BA-3-MAR-07;DEALER 17;7;23;3;2;35;125%;;BA-3-MAR-07;DEALER 17;0;4;10;1;15
BA-3-MAR-08;DEALER 18;6,75%;25;;BA-3-MAR-08;DEALER 18;2;20;0;4;26;104%;;BA-3-MAR-08;DEALER 18;0;6;0;0;6
BA-3-GDA-01;DEALER 19;3,00%;11;;BA-3-GDA-01;DEALER 19;1;6;2;2;11;100%;;BA-3-GDA-01;DEALER 19;0;0;0;0;0
BA-3-KAR-01;DEALER 20;1,50%;6;;BA-3-KAR-01;DEALER 20;1;6;0;1;8;133%;;BA-3-KAR-01;DEALER 20;0;0;0;0;0
BA-3-EGE-03;DEALER 21;2,50%;9;;BA-3-EGE-03;DEALER 21;0;9;1;2;12;133%;;BA-3-EGE-03;DEALER 21;0;0;0;0;0
BA-3-EGE-04;DEALER 22;2,50%;10;;BA-3-EGE-04;DEALER 22;0;10;0;2;12;120%;;BA-3-EGE-04;DEALER 22;0;0;0;1;1
;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;361;;ACTUAL;B2C;30;302;26;51;409;113%;;;;;;;;
;B2B;;50;;;B2B;0;78;13;3;94;188%;;;GROUP-A;;4;;;4
;TOTAL;;411;;;TR;30;380;39;54;503;;;;;;;;;
