;TARGET;;;;;BRAND-A CLOSING B2C ;;;;;;;;;BRAND-A CLOSING B2B;;;;;;;;;
DEALER CODE;DEALER NAME;%;BRAND-A;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL;%;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL
BA-3-ICA-01;DEALER 1;7,75%;14;;BA-3-ICA-01;DEALER 1;9;6;7;;;;22;157%;;BA-3-ICA-01;DEALER 1;;;;;;;0
BA-3-EGE-01;DEALER 2;4,50%;9;;BA-3-EGE-01;DEALER 2;4;3;2;;;;9;100%;;BA-3-EGE-01;DEALER 2;;;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;7;;BA-3-AKD-01;DEALER 3;3;1;3;;;;7;100%;;BA-3-AKD-01;DEALER 3;;;;;;;0
BA-3-AKD-02;DEALER 4;3,50%;7;;BA-3-AKD-02;DEALER 4;;1;2;;1;;4;57%;;BA-3-AKD-02;DEALER 4;;;;;;;0
BA-3-MAR-01;DEALER 5;3,00%;7;;BA-3-MAR-01;DEALER 5;1;;2;;;;3;43%;;BA-3-MAR-01;DEALER 5;;;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;11;;BA-3-EGE-02;DEALER 6;7;2;3;;;;12;109%;;BA-3-EGE-02;DEALER 6;;;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;14;;BA-3-MAR-02;DEALER 7;7;;6;;1;;14;100%;;BA-3-MAR-02;DEALER 7;;;;;;;0
BA-3-MAR-03;DEALER 8;3,00%;6;;BA-3-MAR-03;DEALER 8;5;;2;;;;7;117%;;BA-3-MAR-03;DEALER 8;;;;;;;0
BA-3-ICA-02;DEALER 9;1,50%;3;;BA-3-ICA-02;DEALER 9;;;;;;;0;0%;;BA-3-ICA-02;DEALER 9;;;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;6;;BA-3-ICA-03;DEALER 10;3;1;1;;1;;6;100%;;BA-3-ICA-03;DEALER 10;;;;;;;0
BA-3-AKD-03;DEALER 11;1,50%;3;;BA-3-AKD-03;DEALER 11;1;1;1;;;;3;100%;;BA-3-AKD-03;DEALER 11;;;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;9;;BA-3-MAR-04;DEALER 12;3;2;4;;;;9;100%;;BA-3-MAR-04;DEALER 12;;;;;;;0
BA-3-MAR-05;DEALER 13;6,75%;14;;BA-3-MAR-05;DEALER 13;7;;4;2;;1;14;100%;;BA-3-MAR-05;DEALER 13;;;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;12;;BA-3-ICA-04;DEALER 14;6;2;1;;;;9;75%;;BA-3-ICA-04;DEALER 14;;;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;13;;BA-3-AKD-04;DEALER 15;5;4;4;;;;13;100%;;BA-3-AKD-04;DEALER 15;;;;;;;0
BA-3-MAR-06;DEALER 16;7,50%;14;;BA-3-MAR-06;DEALER 16;7;3;6;;;;16;114%;;BA-3-MAR-06;DEALER 16;;;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;14;;BA-3-MAR-07;DEALER 17;4;1;6;;2;;13;93%;;BA-3-MAR-07;DEALER 17;2;;;;7;;9
BA-3-MAR-08;DEALER 18;6,75%;14;;BA-3-MAR-08;DEALER 18;7;3;4;;;;14;100%;;BA-3-MAR-08;DEALER 18;;;;;;;0
BA-3-GDA-01;DEALER 19;3,00%;6;;BA-3-GDA-01;DEALER 19;4;1;;;1;;6;100%;;BA-3-GDA-01;DEALER 19;;;;;;;0
BA-3-KAR-01;DEALER 20;1,50%;3;;BA-3-KAR-01;DEALER 20;2;1;;;;;3;100%;;BA-3-KAR-01;DEALER 20;;;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;5;;BA-3-EGE-03;DEALER 21;3;3;;;;;6;120%;;BA-3-EGE-03;DEALER 21;;;;;;;0
BA-3-EGE-04;DEALER 22;2,50%;5;;BA-3-EGE-04;DEALER 22;4;;1;;;;5;100%;;BA-3-EGE-04;DEALER 22;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;196;;ACTUAL;B2C;92;35;59;2;6;1;195;99%;;;;;;;;;;
;B2B;;10;;;B2B;2;0;0;0;7;0;9;90%;;;;;;;;;;
;TOTAL;;206;;;TR;94;35;59;2;13;1;204;;;;;;;;;;;
