;TARGET;;;;BRAND-A CLOSING B2C ;;;;;;;;;BRAND-A CLOSING B2B;;;;;;;;;;
DEALER CODE;DEALER NAME;%;BRAND-A;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL;%;;DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;Model B2;Model C;Model D;TOTAL
BA-3-ICA-01;DEALER 1;7,75%;17;;BA-3-ICA-01;DEALER 1;9;6;6;;;;21;124%;;BA-3-ICA-01;DEALER 1;;;;;;;0
BA-3-EGE-01;DEALER 2;4,50%;10;;BA-3-EGE-01;DEALER 2;6;1;2;;1;;10;100%;;BA-3-EGE-01;DEALER 2;;;;;;;0
BA-3-AKD-01;DEALER 3;3,50%;8;;BA-3-AKD-01;DEALER 3;2;2;4;;1;;9;113%;;BA-3-AKD-01;DEALER 3;;;;;;;0
BA-3-AKD-02;DEALER 4;3,50%;8;;BA-3-AKD-02;DEALER 4;2;2;3;;;;7;88%;;BA-3-AKD-02;DEALER 4;;;;;;;0
BA-3-MAR-01;DEALER 5;3,00%;7;;BA-3-MAR-01;DEALER 5;4;;2;;1;;7;100%;;BA-3-MAR-01;DEALER 5;;;;;;;0
BA-3-EGE-02;DEALER 6;5,50%;12;;BA-3-EGE-02;DEALER 6;3;2;6;;1;1;13;108%;;BA-3-EGE-02;DEALER 6;;;;;;;0
BA-3-MAR-02;DEALER 7;7,50%;17;;BA-3-MAR-02;DEALER 7;3;2;6;;;;11;65%;;BA-3-MAR-02;DEALER 7;;;;;;;0
BA-3-MAR-03;DEALER 8;3,00%;7;;BA-3-MAR-03;DEALER 8;4;;2;;1;;7;100%;;BA-3-MAR-03;DEALER 8;;;;;;;0
BA-3-ICA-02;DEALER 9;1,50%;3;;BA-3-ICA-02;DEALER 9;;;;;;;0;0%;;BA-3-ICA-02;DEALER 9;;;;;;;0
BA-3-ICA-03;DEALER 10;2,50%;6;;BA-3-ICA-03;DEALER 10;2;;1;;;;3;50%;;BA-3-ICA-03;DEALER 10;;;;;;;0
BA-3-AKD-03;DEALER 11;1,50%;3;;BA-3-AKD-03;DEALER 11;4;;1;;;;5;167%;;BA-3-AKD-03;DEALER 11;;;;;;;0
BA-3-MAR-04;DEALER 12;4,00%;9;;BA-3-MAR-04;DEALER 12;3;1;1;;;;5;56%;;BA-3-MAR-04;DEALER 12;;;;;;;0
BA-3-MAR-05;DEALER 13;6,75%;15;;BA-3-MAR-05;DEALER 13;5;3;7;;;;15;100%;;BA-3-MAR-05;DEALER 13;;;;;;;0
BA-3-ICA-04;DEALER 14;6,00%;14;;BA-3-ICA-04;DEALER 14;6;1;1;;;;8;57%;;BA-3-ICA-04;DEALER 14;;;;;;;0
BA-3-AKD-04;DEALER 15;6,50%;14;;BA-3-AKD-04;DEALER 15;1;2;9;;;;12;86%;;BA-3-AKD-04;DEALER 15;;;;;;;0
BA-3-MAR-06;DEALER 16;7,50%;17;;BA-3-MAR-06;DEALER 16;6;6;6;;2;;20;118%;;BA-3-MAR-06;DEALER 16;;;;;;;0
BA-3-MAR-07;DEALER 17;7,50%;17;;BA-3-MAR-07;DEALER 17;5;;3;;;;8;47%;;BA-3-MAR-07;DEALER 17;2;;4;;;;6
BA-3-MAR-08;DEALER 18;6,75%;15;;BA-3-MAR-08;DEALER 18;3;;;;;;3;20%;;BA-3-MAR-08;DEALER 18;;;;;;;0
BA-3-GDA-01;DEALER 19;3,00%;7;;BA-3-GDA-01;DEALER 19;2;;4;;2;;8;114%;;BA-3-GDA-01;DEALER 19;;;;;;;0
BA-3-KAR-01;DEALER 20;1,50%;3;;BA-3-KAR-01;DEALER 20;3;;1;;;;4;133%;;BA-3-KAR-01;DEALER 20;;;;;;;0
BA-3-EGE-03;DEALER 21;2,50%;6;;BA-3-EGE-03;DEALER 21;1;1;1;;;;3;50%;;BA-3-EGE-03;DEALER 21;;;;;;;0
BA-3-EGE-04;DEALER 22;2,50%;6;;BA-3-EGE-04;DEALER 22;;1;;;;;1;17%;;BA-3-EGE-04;DEALER 22;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;;;
TARGET;B2C;;221;;ACTUAL;B2C;74;30;66;0;9;1;180;81%;;;;;;;;;;
;B2B;;20;;;B2B;2;0;4;0;0;0;6;30%;;;;;;;;;;
;TOTAL;;241;;;TR;76;30;70;0;9;1;186;;;;;;;;;;;
